voxel_idx,n_eff,k_opp,k_conc,p_opp,p_conc,bold_median,dcmr_median,bold_mean,dcmr_mean
8540,37,21,16,0.5675675675675675,0.4324324324324324,-0.28436852,6.495884,-0.32702798,9.726744
8541,37,31,6,0.8378378378378378,0.1621621621621621,-0.340351,12.434268,-0.38873652,14.304235
8542,37,31,6,0.8378378378378378,0.1621621621621621,-0.3096689,16.100086,-0.3476579,18.229475
8543,37,17,20,0.4594594594594595,0.5405405405405406,0.39737988,-0.47926193,0.41794807,1.230585
8544,37,16,21,0.4324324324324324,0.5675675675675675,0.45837575,-1.2797779,0.48796782,2.1809077
8545,37,20,17,0.5405405405405406,0.4594594594594595,0.47053578,-0.12003369,0.5128604,2.7170563
8554,37,29,8,0.7837837837837838,0.2162162162162162,-0.37843937,12.134349,-0.48852882,16.907825
8555,37,25,12,0.6756756756756757,0.3243243243243243,-0.3442765,11.897588,-0.40339646,15.913137
8556,37,21,16,0.5675675675675675,0.4324324324324324,0.21031177,0.099771634,0.2591339,-0.94370544
8557,37,21,16,0.5675675675675675,0.4324324324324324,0.21244806,-1.075568,0.21503255,0.13526754
8558,37,17,20,0.4594594594594595,0.5405405405405406,0.34311527,-0.96724033,0.33421025,2.06897
8559,37,18,19,0.4864864864864865,0.5135135135135135,0.42735654,0.7191276,0.48180574,3.2100773
8572,37,22,15,0.5945945945945946,0.4054054054054054,-0.32210577,12.032799,-0.32432318,12.448442
8575,37,22,15,0.5945945945945946,0.4054054054054054,0.3266185,-0.88846534,0.2793034,-3.157969
8585,37,25,12,0.6756756756756757,0.3243243243243243,-0.19921538,4.5155444,-0.27204853,7.400282
8586,37,17,20,0.4594594594594595,0.5405405405405406,-0.15753101,6.209155,-0.15365145,10.280239
8588,37,22,15,0.5945945945945946,0.4054054054054054,-0.19122466,11.618457,-0.2034435,12.679892
8589,37,22,15,0.5945945945945946,0.4054054054054054,-0.28320378,7.5982203,-0.27686074,10.764502
8590,37,20,17,0.5405405405405406,0.4594594594594595,-0.15569255,1.8330299,-0.17582805,8.149135
8612,37,22,15,0.5945945945945946,0.4054054054054054,0.1408306,-2.921988,0.18761498,-3.180409
8642,37,20,17,0.5405405405405406,0.4594594594594595,-0.106343664,7.730354,-0.14411366,10.78509
8645,37,21,16,0.5675675675675675,0.4324324324324324,0.0600911,-5.614813,0.18349126,-4.082461
8659,37,20,17,0.5405405405405406,0.4594594594594595,-0.1623871,-1.7703013,-0.20626411,-1.1161305
8671,37,21,16,0.5675675675675675,0.4324324324324324,-0.27617127,2.9719262,-0.2661152,4.778369
8672,37,18,19,0.4864864864864865,0.5135135135135135,-0.16767159,9.331824,-0.2593597,9.620207
8673,37,18,19,0.4864864864864865,0.5135135135135135,-0.22651443,9.4999,-0.2291753,9.260312
8693,37,15,22,0.4054054054054054,0.5945945945945946,-0.24995469,2.4713285,-0.3154935,4.2914767
8694,37,24,13,0.6486486486486487,0.3513513513513513,-0.14696857,5.814055,-0.27004725,9.452931
8695,37,20,17,0.5405405405405406,0.4594594594594595,-0.2103632,8.266721,-0.23035192,12.272442
8696,37,21,16,0.5675675675675675,0.4324324324324324,-0.1506015,9.621511,-0.20947817,9.754876
