voxel,bold_mean,dcmro2_mean,dcbf_mean,considered,cmro2_sig,finite_all
445,-0.0854748,1.528442,-0.6167516,0,0,1
446,-0.10145949,0.30173606,-1.8523535,0,0,1
447,-0.07583476,-1.2653809,-3.061925,0,0,1
448,-0.24162464,-2.1915665,-3.4104466,1,0,1
449,-0.22649115,-1.9145958,-2.4602487,0,0,1
450,-0.32745504,-1.5904531,-1.5703802,1,0,1
451,-0.86105496,-6.2146316,-5.1129074,0,0,1
452,-0.96417737,-4.2348,-5.2457013,0,0,1
453,0.4056068,1.3902304,-0.3218733,0,0,1
454,-0.10245279,5.835333,3.1722045,0,0,1
455,-0.37080827,8.032767,6.0686936,0,0,1
456,-0.09889493,6.6580234,5.1917453,0,0,1
457,-0.5647607,2.3009534,-0.14669977,0,0,1
458,-0.3134861,1.4593141,0.20909864,0,0,1
459,-0.2262774,1.2694064,0.17695652,0,0,1
460,0.09395474,0.50473,-0.76460755,0,0,1
461,-0.035794042,-1.0370629,-2.4741225,0,0,1
462,0.01274557,-2.5020506,-3.7512865,0,0,1
463,-0.016763048,-3.8197372,-4.897596,0,0,1
464,-0.6073805,-6.2490315,-4.718563,0,0,1
465,-0.66479677,-6.10898,-5.45166,0,0,1
466,-0.111459315,-4.7844157,-4.84535,0,0,1
467,0.50127,1.3108267,-0.01166019,0,0,1
468,-0.015805466,4.8796897,3.2023969,0,0,1
469,-0.20325042,4.2352653,3.6321232,0,0,1
470,-0.42224127,1.105952,0.54783154,0,0,1
471,-0.58678496,2.3900778,0.3825707,0,0,1
472,-0.13900799,1.2400448,-0.209372,0,0,1
473,-0.4271324,0.37747842,-0.5966584,0,0,1
474,-0.3664798,-0.87562394,-1.6945107,0,0,1
475,-0.045769192,-4.8640695,-5.8750253,0,0,1
476,0.009168364,-5.8567543,-6.366235,0,0,1
477,0.0591319,-6.4444323,-5.7803774,0,0,1
478,-0.13246286,-8.279534,-5.376533,0,0,1
479,-0.23697373,-7.400548,-5.420372,0,0,1
480,0.63971925,-1.6959509,-1.8682933,0,0,1
481,-0.3904305,3.3840938,3.206267,0,0,1
482,-0.17120254,2.6123276,1.7827432,0,0,1
483,-0.116055876,2.0517893,1.15801,0,0,1
484,0.82377744,1.7781037,0.7047478,0,0,1
485,0.64335394,2.6128435,1.510811,0,0,1
486,-0.19149165,2.793046,1.124294,0,0,1
487,-0.1758835,0.7271139,-0.38526076,0,0,1
488,-0.045172613,-6.5577273,-6.537456,0,0,1
489,-0.16509493,-7.0816417,-5.525495,0,0,1
490,-0.35194716,-8.451153,-4.041265,1,0,1
491,-0.13647988,5.1319213,2.8658676,0,0,1
492,-0.19263098,1.722498,0.97269565,0,0,1
493,-0.37950683,2.0590446,0.33164686,0,0,1
494,-0.1426517,-7.52945,-5.3056283,0,0,1
495,-0.29208735,-8.878685,-4.0250254,0,0,1
496,0.045891,-1.9640155,-1.9241071,0,0,1
497,-0.12795316,-1.5666119,-2.1406374,0,0,1
498,-0.09194821,-2.99286,-2.6275945,0,0,1
499,0.12085432,-4.99609,-4.064245,0,0,1
500,-0.16991651,-6.04206,-5.1408706,0,0,1
501,-0.22409514,-6.2892804,-5.720864,0,0,1
502,-0.099886596,-6.3864846,-5.2038608,0,0,1
503,-0.27883878,-9.828083,-4.586963,0,0,1
504,0.010460531,-10.411932,4.603692,0,0,1
505,-0.36678582,-9.509194,2.0330634,0,0,1
506,-0.40388635,-7.550663,-5.357283,0,0,1
507,-0.3510113,-12.95876,-4.1080847,0,0,1
508,-0.1199817,13.149563,-6.5013056,0,0,1
509,0.32479718,-1.7730471,8.29969,0,0,1
510,0.47247165,-2.906052,8.092783,0,0,1
511,-0.1823374,-1.307752,6.741116,0,0,1
512,0.06382389,0.9721845,4.449903,0,0,1
513,0.030925576,0.4516234,2.1041136,0,0,1
514,-0.11676154,-2.443739,-0.25408524,0,0,1
515,-0.19309892,-6.5135193,-2.459026,0,0,1
516,-0.28308988,-10.719949,-4.305209,0,0,1
517,-0.45104116,-14.817932,-4.813373,0,0,1
518,-3.6079319,-16.331644,-3.8967726,0,0,1
519,0.5230699,-5.814502,10.533608,0,0,1
520,0.2240015,-2.1942086,8.853284,0,0,1
